Title,ISBN,Author,Date,Rating,Note
鹿川有许多粪,9787307223950,李沧东,2022-03-29,4,
土摩托看世界,9787108040039,袁越,2022-03-11,3,
刘擎西方现代思想讲义,9787513342919,刘擎,2022-01-09,4,
五等分的新娘,9789572615744,春場葱,2021-12-15,5,
柏青哥,9787559431431,李敏金,2021-10-28,3,
午夜降临前抵达,9787549635511,刘子超,2021-10-09,5,
失落的卫星,9787549631452,刘子超,2021-10-01,5,
北欧,9787807681014,迈克尔·布斯,2021-09-20,5,
不去会死！,9787532750160,石田裕辅,2021-09-01,3,
兄弟,9787506365697,余华,2021-08-29,5,
鋼之鍊金術師,9789628864010,荒川弘,2021-08-22,5,
索拉里斯星,9787544782173,斯坦尼斯拉夫·莱姆,2021-08-21,4,
失乐园,9787550230415,渡边淳一,2021-08-16,4,
留德十年,9787560084565,季羡林,2021-08-12,3,
山月记,9787551819251,中岛敦,2021-08-10,4,
你真的不必討好所有人,9789579314503,枡野俊明,2021-08-03,3,
繁花,9787532148004,金宇澄,2021-08-01,4,
岩田先生,9787544787581,HOBO日刊ITOI新闻,2021-07-16,4,
第一人稱單數,9789571384672,村上春樹,2021-07-14,5,
曾經以為中國最幸福,9789865524289,矢板明夫; 石平,2021-07-04,3,
笑傲江湖,9787546213408,金庸,2021-06-24,5,
极品家丁,9787219066812,禹岩,2021-06-06,4,
魚,9789861112794,伊藤润二,2021-06-06,3,
父之曆,9789574735594,谷口治郎,2021-05-23,5,
PLUTO,9789861186887,浦泽直树,2021-05-23,5,
中國近代史（下冊）,9789622019881,徐中約,2021-05-05,5,
別鬧了，費曼先生,9789864794775,理查．費曼,2021-05-05,5,
騎乘鐵公雞,9789865722821,保羅．索魯,2021-03-28,5,
潮骚,9787530218488,三岛由纪夫,2021-03-21,4,
看海的人,9787513316743,小林泰三,2021-03-14,5,
春宵苦短，少女前进吧！,9787541157493,森见登美彦,2021-02-21,4,
龙头凤尾,9787541144288,马家辉,2021-01-31,4,
伤心咖啡馆之歌,9787567574694,卡森·麦卡勒斯,2021-01-17,3,翻译有点怪
弃猫,9787536093171,村上春树,2021-01-11,3,
點與線,9789861245645,松本清張,2021-01-10,3,
废都,9787540762643,贾平凹,2021-01-09,3,
醉步男,9787569926910,小林泰三,2020-12-20,5,
呐喊,9787201097206,鲁迅,2020-12-06,5,
The Queen's Gambit,9781400030606,Walter Tevis,2020-11-28,4,
夹边沟记事,9787536053281,杨显惠,2020-10-25,5,
聽風的歌,9789571315751,村上春樹,2020-09-24,5,時報文化，譯者為賴明珠
银河系边缘的小失常,9787540489502,埃特加·凯雷特,2020-07-19,4,作品本身很棒，但看多了就觉得有点套路。另外这一本有些地方翻译得有点别扭。
白夜,9787533960421,费奥多尔·陀思妥耶夫斯基,2020-07-11,4,
最初的爱情 最后的仪式,9787305063749,伊恩·麦克尤恩,2020-06-21,4,
中國近代史（上冊）,9789622019874,徐中約,2020-06-13,5,
沙之书,9787532762927,豪尔赫·路易斯·博尔赫斯,2020-06-06,5,
恶棍列传,9787532762880,豪尔赫·路易斯·博尔赫斯,2020-05-24,4,
有所不为的反叛者,9787542666468,罗新,2020-05-23,3,开头几篇很精彩，后面的感觉主题有点散了。
中国游记,9787533950170,芥川龙之介,2020-04-07,3,
没有女人的男人们,9787532768776,村上春树,2020-03-07,3,《木野》那一篇很棒。
狗心,9787540785420,米·布尔加科夫,2019-12-25,3,
JoJo的奇妙冒险 第4部：不灭钻石,9789861155821,荒木飛呂彥,2019-12-14,4,
当下的启蒙,9787213089831,史迪芬·平克,2019-11-20,5,
罗生门,9787544714440,芥川龙之介,2019-11-13,4,
乞力马扎罗的雪,9787544726450,欧内斯特·海明威,2019-11-01,4,
米格尔街,9787544261654,V.S.奈保尔,2019-10-29,3,
碎片，令人怀念的1980年代,9787544253246,村上春树,2019-10-25,4,
日出国的工厂,9787532756940,村上春树,2019-10-24,4,
人鼠之间,9787020147281,约翰·斯坦贝克,2019-10-19,3,
河童,9787532767106,芥川龙之介,2019-10-17,4,
Monster,9789573453611,浦泽直树,2019-10-08,5,
咔嚓！老田就爱高丽丽,9787540482138,郊县天王老田,2019-09-29,3,
监狱学园,9784063820430,平本彰,2019-09-25,3,
我的精神家园,9787530217467,王小波,2019-09-16,5,
小径分岔的花园,9787532762897,豪尔赫·路易斯·博尔赫斯,2019-09-12,5,
清华园日记,9787560084558,季羡林,2019-09-11,3,
暴政,9789570853049,提摩希‧史奈德,2019-09-03,4,
櫻×櫻,9789863258094,森繁,2019-09-02,3,
佩德罗·巴拉莫,9787544720854,胡安·鲁尔福,2019-09-02,5,
JoJo的奇妙冒险 第3部：星尘斗士,9789861152363,荒木飞吕彦,2019-08-23,5,
JoJo的奇妙冒险 第2部：战斗潮流,9789861151182,荒木飞吕彦,2019-08-16,4,
JoJo的奇妙冒险 第1部：幻影之血,9789861151144,荒木飞吕彦,2019-08-09,4,
长日将尽,9787532777532,石黑一雄,2019-08-28,4,
青春咖啡馆,9787020079919,帕特里克·莫迪亚诺,2019-07-18,4,
东京奇谭集,9787532740536,村上春树,2019-07-16,4,
江城,9787532756728,彼得·海斯勒,2019-07-14,5,
远方的鼓声,9787532754533,村上春树,2019-07-09,5,
民主·宪法·人权,9787108044662,费孝通,2019-07-05,3,
慢煮生活,9787559407252,汪曾祺,2019-06-24,4,
技术垄断,9787521700497,尼尔·波斯曼,2019-06-01,4,
偷窥孔,9789861091044,本名和幸,2019-05-28,4,
I”s,9789573461920,桂正和,2019-05-27,5,
出包王女 Darkness,9789861086323,矢吹健太朗,2019-05-23,4,
出包王女,9789861193069,矢吹健太朗,2019-05-15,4,
Touch,9789629531102,安达充,2019-05-13,5,
日光流年,9787201072326,阎连科,2019-05-11,5,
棋王·树王·孩子王,9787539979359,阿城,2019-05-07,5,
袭击面包店,9787544275231,村上春树,2019-05-06,3,
金色梦乡,9787544285025,伊坂幸太郎,2019-05-01,3,
边境·近境,9787532754564,村上春树,2019-04-28,4,
动物农场,9787530207529,乔治·奥威尔,2019-04-22,5,
The Little World of Liz Climo,9780762452385,Liz Climo,2019-04-22,4,
爱吃沙拉的狮子,9787544277549,村上春树,2019-04-19,4,
奥斯维辛,9787549585489,劳伦斯·里斯,2019-04-18,5,
卡拉马佐夫兄弟,9787532753505,费奥多尔·陀思妥耶夫斯基,2019-04-14,5,
图书馆奇谈,9787530215234,村上春树,2019-04-05,3,
雨天炎天,9787532773268,村上春树,2019-03-31,4,
如果我们的语言是威士忌,9787532732234,村上春树,2019-03-30,4,
鹿鼎记,9787546213415,金庸,2019-03-12,5,
雕刻时光,9787544278591,安德烈·塔可夫斯基,2019-03-01,4,
人人时代,9787300159331,克莱·舍基,2019-02-24,4,
天龙八部,9787546213385,金庸,2019-02-21,5,
失踪的孩子,9787020139927,埃莱娜·费兰特,2019-01-22,5,
离开的，留下的,9787020132003,埃莱娜·费兰特,2019-01-14,4,
新名字的故事,9787020125265,埃莱娜·费兰特,2019-01-04,5,
我的天才女友,9787020120130,埃莱娜·费兰特,2018-12-26,4,
活着回来的男人,9787549589227,小熊英二,2018-12-20,5,本书描写了一个1945年日本即将投降时被征兵继而被俘进入西伯利亚战俘营的日本兵的战前、被俘及战后经历，内容详实，大开眼界，而且因为是社会学著作（作者是社会学家，同时也是书中采访对象的儿子），有多处数据及参考文献引用。
教父,9787539967448,马里奥·普佐,2018-12-11,4,人物个性的刻画确实很棒。老教父很酷，但不确定在他的价值观里友情是不是有人情味的，要只是当作生意的话就有点可怕了。相对来说新任教父迈克尔有点太心狠手辣了，但不得不否认脑子还是好使。
漫长的告别,9787544384636,雷蒙德·钱德勒,2018-11-18,5,细节特别棒，描写很自然，很有画面感，而且有的细节就死对后面情节的提示。马洛说话做事都太酷了！
假如真有时光机,9787544292498,村上春树,2018-11-06,5,好的游记就是看了会有想去那里的冲动。而且村上的游记也太有意思了，没有尾巴的冰岛羊、雷克雅未克的工业温泉、熊本的关西式鳗鱼饭……
谈美,9787513316934,朱光潜,2018-11-05,4,
光明王,9787550230439,罗杰·泽拉兹尼,2018-11-01,3,不知道是不是翻译的原因，读起来并不顺畅。
成为乔布斯,9787508662404,Brent Schlender; Rick Tetzel,2018-10-20,5,算是乔布斯秘史把哈哈。
高分少女,9784757535121,押切蓮介,2018-10-02,3,
统计学习方法,9787302275954,李航,2018-09-10,4,
七龍珠完全版,9789861151854,鳥山明,2018-08-15,5,
刺杀骑士团长,9787532776580,村上春树,2018-05-07,4,
人为什么活着,9787535435330,王小波,2018-03-14,4,
字体故事,9787121190674,西蒙·加菲尔德,2018-02-22,4,
Vim实用技巧,9787115338693,Drew Neil,2018-02-11,4,
东方快车谋杀案,9787020056309,阿加莎·克里斯蒂,2018-01-14,4,看的第一部阿加莎的小说，故事不长，情节很紧凑，很奇妙的体验。结尾很突然，总觉得还应该解释些什么，但仔细想想好像也够了。
我的职业是小说家,9787544285377,村上春树,2017-12-24,5,
容忍与自由,9787222137370,胡适,2017-12-17,5,
三十而立,9787545201475,王小波,2017-11-26,4,
个人尊严,9787561336014,王小波,2017-11-08,5,
被掩埋的巨人,9787532770243,石黑一雄,2017-10-30,4,
局外人,9787532751471,阿尔贝·加缪,2017-10-23,4,
函数式编程思维,9787115400413,Neal Ford,2017-10-19,4,
远山淡影,9787532753451,石黑一雄,2017-10-15,4,
Haskell趣学指南,9787115335593,Miran Lipovaca,2017-08-21,5,
风把人刮歪,9787537139878,刘亮程,2017-08-16,5,
白鹿原,9787020090297,陈忠实,2017-08-02,4,
不朽,9787539925028,胡适,2017-01-04,5,
没有人给他写信的上校,9787544264013,加西亚·马尔克斯,2016-02-01,3,
匠人,9787513906500,申赋渔,2016-01-28,3,
睡不着,9787508643304,Tango,2016-01-28,3,
鲤·文艺青年,9787532145874,张悦然,2015-12-22,3,
鲤·最好的时光,9787539932170,张悦然,2015-12-22,3,
小顾聊绘画·壹,9787508643939,顾爷,2015-12-22,3,
鲤·因爱之名,9787539932910,张悦然,2015-12-22,3,
鲤·与书私奔,9787532147632,张悦然,2015-12-22,3,
卡车,9787532746309,玛格丽特·杜拉斯,2015-05-25,3,没看懂。。。跟戈达尔的电影一样。。。
大萝卜和难挑的鳄梨,9787544274050,村上春树,2015-05-14,4,
二十首情诗与绝望的歌,9787500436966,巴勃罗·聂鲁达,2015-05-14,3,
小通鉴,9787533869960,冯唐,2015-04-26,3,
三体,9787536692930,刘慈欣,2015-03-08,5,
悉尼！,9787544260275,村上春树,2015-03-06,4,
柴静×刘瑜：自由从何而来,9787900261472,赵涵漠; 包丽敏,2015-03-03,3,
禅与摩托车维修艺术,9787229040369,罗伯特·M·波西格,2015-01-22,4,
不朽,9787532752911,米兰·昆德拉,2015-01-06,4,
中央公园西路,9787532750467,伍迪·艾伦,2015-01-02,3,
村上广播,9787532756667,村上春树,2014-12-09,4,
解忧杂货店,9787544270878,东野圭吾,2014-11-17,3,
奇鸟行状录,9787532748471,村上春树,2014-10-26,5,
庆祝无意义,9787532766628,米兰·昆德拉,2014-10-19,3,
知日·森女,9787508638089,苏静,2014-10-12,2,
鲤·孤独,9787539929064,张悦然,2014-10-12,3,
光荣日（第一季）,9787539137650,韩寒,2014-08-14,3,
