Date,Rating,Title,Year,IMDB,Note
2024-07-06,3,The Equalizer,2014,tt0455944,
2024-06-30,4,Mars Express,2023,tt26915336,
2024-06-23,3,Elemental,2023,tt15789038,
2024-06-23,3,The Equalizer 3,2023,tt17024450,上海电影节，在上海浦东Movie Movie影院看的IMAX版，效果很棒。
2024-06-15,2,Antiporno,2016,tt5973032,
2024-06-10,3,The Beekeeper,2024,tt15314262,
2024-06-10,3,The Unbearable Weight of Massive Talent,2022,tt11291274,
2024-06-09,4,La haine,1995,tt0113247,
2024-06-03,3,Old Fox,2023,tt29452517,
2024-06-01,3,Hunt,2022,tt6931658,
2024-06-01,4,A Bronx Tale,1993,tt0106489,
2024-06-01,2,All Ladies Do It,1992,tt0104014,
2024-05-26,4,The First Slam Dunk,2022,tt15242330,
2024-05-24,4,Uncut Gems,2019,tt5727208,
2024-05-19,4,Luca,2021,tt12801262,
2024-05-19,3,True Lies,1994,tt0111503,
2024-05-12,3,Hustle & Flow,2005,tt0410097,
2024-05-12,4,Dune: Part Two,2024,tt15239678,
2024-04-14,4,Tenet,2020,tt6723592,
2024-04-14,3,An Amorous Woman of Tang Dynasty,1984,tt0121787,
